trade_id,instrument,fold,entry_time_utc,entry_time_ny,exit_time_utc,exit_time_ny,day_of_week,holding_hours,direction,entry_price,sl_price,tp_price,close_price,sl_pips,rr_ratio,trade_result,r_gained,pnl,setup_quality,confluence_score,ttps_htf,ttps_entry,ttps_session,ttps_risk,ttps_total,primary_fvg_tf,primary_fvg_bottom,primary_fvg_top,swept_level,risk_amount,risk_multiplier,week_number,block_reason,bias_trend_score,bias_swing_score,bias_zone_score,bias_po3_score,bias_bull_total,bias_bear_total,bias_conviction
full-0001,XAUUSDm,full,2022-01-04 16:00:00,2022-01-04 11:00:00,2022-01-19 15:00:00,2022-01-19 10:00:00,Tuesday,359.0,BEARISH,1814.57,1832.72,1769.88,1832.72,18.1,2.46,LOSS,-1.00,-1000.00,A,9,5,4,3,2,14,H4,1802.95,1821.36,1814.90,1000.00,1.0,2022-W01,Signal confirmed,0/1,3/2,0/2,0/0,3,5,MEDIUM
full-0002,XAUUSDm,full,2022-01-13 16:00:00,2022-01-13 11:00:00,2022-01-25 14:00:00,2022-01-25 09:00:00,Thursday,286.0,BULLISH,1814.59,1796.44,1850.88,1850.88,18.1,2.00,WIN,2.00,2000.00,B,8,5,2,3,1,11,H4,1811.81,1820.05,,1000.00,1.0,2022-W02,Signal confirmed,1/0,3/0,2/0,0/0,6,0,MEDIUM
full-0003,XAUUSDm,full,2022-01-18 09:00:00,2022-01-18 04:00:00,2022-01-25 14:00:00,2022-01-25 09:00:00,Tuesday,173.0,BULLISH,1811.96,1793.84,1848.20,1848.20,18.1,2.00,WIN,2.00,2000.00,B,7,5,2,2,1,10,H4,1811.81,1820.05,,1000.00,1.0,2022-W03,Signal confirmed,0/0,3/3,2/0,0/0,5,3,MEDIUM
full-0004,XAUUSDm,full,2022-01-18 10:00:00,2022-01-18 05:00:00,2022-01-20 13:00:00,2022-01-20 08:00:00,Tuesday,51.0,BULLISH,1810.36,1792.26,1846.56,1846.56,18.1,2.00,WIN,2.00,2000.00,A,9,5,4,2,1,12,H4,1811.81,1820.05,1809.99,1000.00,0.5,2022-W03,Signal confirmed,0/0,3/3,2/0,0/0,5,3,MEDIUM
full-0005,XAUUSDm,full,2022-01-18 11:00:00,2022-01-18 06:00:00,2022-01-20 13:00:00,2022-01-20 08:00:00,Tuesday,50.0,BULLISH,1810.05,1791.95,1846.26,1846.26,18.1,2.00,WIN,2.00,2000.00,A,9,5,4,1,1,11,H4,1811.81,1820.05,1809.99,1000.00,0.5,2022-W03,Signal confirmed,0/0,3/3,2/0,0/0,5,3,MEDIUM
full-0006,XAUUSDm,full,2022-01-25 16:00:00,2022-01-25 11:00:00,2022-01-26 19:00:00,2022-01-26 14:00:00,Tuesday,27.0,BULLISH,1846.87,1828.39,1883.81,1828.39,18.5,2.00,LOSS,-1.00,-1000.00,B,8,5,4,3,2,14,H4,1819.86,1837.07,1844.07,1000.00,1.0,2022-W04,Signal confirmed,3/0,3/0,0/2,0/0,6,2,MEDIUM
full-0007,XAUUSDm,full,2022-01-27 10:00:00,2022-01-27 05:00:00,2022-02-09 17:00:00,2022-02-09 12:00:00,Thursday,319.0,BEARISH,1815.95,1834.11,1753.05,1834.11,18.2,3.46,LOSS,-1.00,-1000.00,C,6,5,2,2,4,13,H4,1822.08,1830.91,,1000.00,1.0,2022-W04,Signal confirmed,2/0,1/3,0/2,0/1,2,6,MEDIUM
full-0008,XAUUSDm,full,2022-02-15 09:00:00,2022-02-15 04:00:00,2022-02-17 16:00:00,2022-02-17 11:00:00,Tuesday,55.0,BULLISH,1861.53,1842.91,1898.78,1898.78,18.6,2.00,WIN,2.00,2000.00,B,8,5,4,2,1,12,H4,1837.02,1857.50,1858.13,1000.00,1.0,2022-W07,Signal confirmed,3/0,3/0,0/2,0/0,6,2,MEDIUM
full-0009,XAUUSDm,full,2022-02-15 10:00:00,2022-02-15 05:00:00,2022-02-17 13:00:00,2022-02-17 08:00:00,Tuesday,51.0,BULLISH,1857.63,1839.05,1894.80,1894.80,18.6,2.00,WIN,2.00,2000.00,A,9,5,4,2,1,12,H4,1837.02,1857.50,1851.33,1000.00,0.5,2022-W07,Signal confirmed,3/0,3/0,0/2,0/0,6,2,MEDIUM
full-0010,XAUUSDm,full,2022-02-15 11:00:00,2022-02-15 06:00:00,2022-02-17 09:00:00,2022-02-17 04:00:00,Tuesday,46.0,BULLISH,1854.95,1836.40,1892.04,1892.04,18.6,2.00,WIN,2.00,2000.00,B,7,5,2,1,1,9,H4,1837.02,1857.50,,1000.00,0.5,2022-W07,Signal confirmed,3/0,3/0,0/2,0/0,6,2,MEDIUM
full-0011,XAUUSDm,full,2022-02-22 08:00:00,2022-02-22 03:00:00,2022-02-23 09:00:00,2022-02-23 04:00:00,Tuesday,25.0,BULLISH,1908.55,1889.46,1946.73,1889.46,19.1,2.00,LOSS,-1.00,-1000.00,B,8,5,4,2,2,13,H4,1897.51,1907.74,1906.18,1000.00,1.0,2022-W08,Signal confirmed,3/0,3/0,0/2,0/0,6,2,MEDIUM
full-0012,XAUUSDm,full,2022-02-24 12:00:00,2022-02-24 07:00:00,2022-02-24 14:00:00,2022-02-24 09:00:00,Thursday,2.0,BULLISH,1961.51,1941.89,2000.76,1941.89,19.6,2.00,LOSS,-1.00,-1000.00,C,5,5,1,1,1,8,H1,1954.13,1961.31,,1000.00,1.0,2022-W08,Signal confirmed,3/0,3/0,0/2,0/1,5,3,MEDIUM
full-0013,XAUUSDm,full,2022-03-01 08:00:00,2022-03-01 03:00:00,2022-03-01 14:00:00,2022-03-01 09:00:00,Tuesday,6.0,BEARISH,1907.67,1926.75,1820.68,1926.75,19.1,4.56,LOSS,-1.00,-1000.00,A,9,5,3,2,4,14,H1,1899.20,1905.18,1907.91,1000.00,1.0,2022-W09,Signal confirmed,0/2,3/3,0/2,0/0,3,7,HIGH
full-0014,XAUUSDm,full,2022-03-08 08:00:00,2022-03-08 03:00:00,2022-03-08 15:00:00,2022-03-08 10:00:00,Tuesday,7.0,BULLISH,2016.09,1995.93,2056.42,2056.42,20.2,2.00,WIN,2.00,2000.00,C,5,5,1,2,1,9,H1,1994.30,2012.95,,1000.00,1.0,2022-W10,Signal confirmed,3/0,3/0,0/2,0/0,6,2,MEDIUM
full-0015,XAUUSDm,full,2022-03-08 09:00:00,2022-03-08 04:00:00,2022-03-08 15:00:00,2022-03-08 10:00:00,Tuesday,6.0,BULLISH,2008.66,1988.58,2048.84,2048.84,20.1,2.00,WIN,2.00,2000.00,B,7,5,3,2,1,11,H1,1994.30,2012.95,2001.81,1000.00,0.5,2022-W10,Signal confirmed,3/0,3/0,0/2,0/0,6,2,MEDIUM
full-0016,XAUUSDm,full,2022-03-08 10:00:00,2022-03-08 05:00:00,2022-03-08 15:00:00,2022-03-08 10:00:00,Tuesday,5.0,BULLISH,2006.22,1986.16,2046.34,2046.34,20.1,2.00,WIN,2.00,2000.00,C,5,5,1,2,2,10,H1,1994.30,2012.95,,1000.00,0.5,2022-W10,Signal confirmed,3/0,3/0,0/2,0/0,6,2,MEDIUM
full-0017,XAUUSDm,full,2022-03-15 09:00:00,2022-03-15 05:00:00,2022-03-24 11:00:00,2022-03-24 07:00:00,Tuesday,218.0,BEARISH,1934.84,1954.19,1877.77,1954.19,19.4,2.95,LOSS,-1.00,-1000.00,C,6,5,2,2,3,12,H4,1942.34,1950.20,,1000.00,1.0,2022-W11,Signal confirmed,0/1,0/2,0/2,0/0,0,5,MEDIUM
full-0018,XAUUSDm,full,2022-03-22 07:00:00,2022-03-22 03:00:00,2022-03-24 11:00:00,2022-03-24 07:00:00,Tuesday,52.0,BEARISH,1934.76,1954.11,1894.75,1954.11,19.4,2.07,LOSS,-1.00,-1000.00,A,9,5,4,2,1,12,H4,1942.34,1950.20,1935.09,1000.00,1.0,2022-W12,Signal confirmed,0/0,2/3,0/2,0/0,2,5,MEDIUM
