fold,train_start,validate_start,validate_end,trades,closed,wins,losses,win_rate,profit_factor,total_r,average_r,max_drawdown_pct,sharpe,final_balance
fold1,2023-05-23,2023-11-23,2024-01-23,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,100000.00
fold2,2023-07-23,2024-01-23,2024-03-23,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,100000.00
fold3,2023-09-23,2024-03-23,2024-05-23,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,100000.00
fold4,2023-11-23,2024-05-23,2024-07-23,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,100000.00
fold5,2024-01-23,2024-07-23,2024-09-23,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,100000.00
fold6,2024-03-23,2024-09-23,2024-11-23,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,100000.00
fold7,2024-05-23,2024-11-23,2025-01-23,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,100000.00
fold8,2024-07-23,2025-01-23,2025-03-23,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,100000.00
fold9,2024-09-23,2025-03-23,2025-05-23,1,1,0,1,0.00,0.00,-1.00,-1.00,1.00,0.00,99000.00
fold10,2024-11-23,2025-05-23,2025-07-23,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,100000.00
fold11,2025-01-23,2025-07-23,2025-09-23,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,100000.00
fold12,2025-03-23,2025-09-23,2025-11-23,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,100000.00
fold13,2025-05-23,2025-11-23,2026-01-23,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,100000.00
fold14,2025-07-23,2026-01-23,2026-03-23,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,100000.00
fold15,2025-09-23,2026-03-23,2026-05-23,2,2,0,2,0.00,0.00,-2.00,-1.00,1.99,0.00,98010.00
